Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	CheckM completeness	CheckM completeness percentile	CheckM contamination	Assembly Release Date
GCF_036542125.1	Enterobacter ludwigii	299767	PRJNA1068822	SAMN39604747	ASM3654212v1	T977	T977	PacBio Sequel	1	4772153	2076.0x		99.52	43.47826	0.44	2024-02-11
GCF_041006445.1	Enterobacter ludwigii	299767	PRJNA736151	SAMN19611296	ASM4100644v1	EL-TMU	EL-TMU	PacBio Sequel	2	4878133	2500.0x		99.15	12.5	0.1	2024-08-03
GCF_041110985.1	Enterobacter ludwigii	299767	PRJNA288601	SAMN43047201	2024CK-01200	2024CK-01200	2024CK-01200	Illumina MiSeq; Oxford Nanopore GridION	3	4912422	300.0x		99.6	64.13043	0.19	2024-09-20
GCF_022014715.1	Enterobacter mori	539813	PRJNA801791	SAMN25390741	ASM2201471v1	ACYC.E9L	ACYC.E9L	Illumina MiSeq; Oxford Nanopore MinION	2	4844012	72.0x		99.61	100	0.3	2022-02-06
GCF_015708675.1	Enterobacter mori	539813	PRJNA663366	SAMN16131364	ASM1570867v1	HSW1412	HSW1412	Oxford Nanopore	3	4930410	110.0x		97.93	9.836065	2.39	2020-12-01
GCF_018638795.1	Enterobacter mori	539813	PRJNA703085	SAMN18011300	ASM1863879v1	08-091	08-091	Illumina, Oxford Nanopore ONT	2	4986313	248.0x		99.34	36.065575	0.22	2021-06-02
GCF_019203945.1	Enterobacter mori	539813	PRJNA638257	SAMN15184663	ASM1920394v1	CX01	CX01	PacBio Sequel; Illumina HiSeq	1	4966908	372.0x		99.61	100	0.21	2021-07-13
GCF_025244905.1	Enterobacter mori	539813	PRJNA877372	SAMN30697280	ASM2524490v1	JT.W3M11	JT.W3M11	Illumina MiSeq; Oxford Nanopore MinION	1	4786692	313.0x		99.48	44.262295	0.78	2022-09-18
GCF_030544955.1	Enterobacter mori	539813	PRJNA934704	SAMN33277635	ASM3054495v1	LgD10	LgD10	PacBio	2	4993408	30.2x		99.36	37.704918	0.21	2023-07-26
GCF_009176645.1	Enterobacter oligotrophicus	2478464	PRJDB7530	SAMD00143594	ASM917664v1	CCA6	CCA6	PacBio RS II	1	4476585	330.0x	Draft Genome Sequence of Enterobacter sp. strain CCA6	98.53	100	0.71	2019-03-18
GCF_013376835.1	Enterobacter pasteurii	3029761	PRJNA640151	SAMN15300312	ASM1337683v1	D41-sc-1712200	D41-sc-1712200	PacBio Sequel	4	5061623	305.0x		98.17	33.333332	0.44	2020-06-30
GCF_030406165.1	Enterobacter pseudoroggenkampii	2996112	PRJNA987424	SAMN35981009	ASM3040616v1	FY158	FY158	Illumina HiSeq; Oxford Nanopore PromethION	1	4730290	480.0x		98.56	25	0.81	2023-07-04
GCF_030406125.1	Enterobacter pseudoroggenkampii	2996112	PRJNA987424	SAMN35981010	ASM3040612v1	SC1	SC1	Illumina HiSeq; Oxford Nanopore PromethION	1	4814123	750.0x		99.19	50	0.61	2023-07-04
GCF_029542725.1	Enterobacter quasiroggenkampii	2497436	PRJNA895834	SAMN31525164	ASM2954272v1	WS12-3	WS12-3	Illumina NovaSeq; Oxford Nanopore	1	4712313	645.0x		99.6	85.18519	0.04	2023-04-03
GCF_001729805.1	Enterobacter roggenkampii	1812935	PRJNA259658	SAMN05581750	ASM172980v1	DSM 16690	DSM 16690	PacBio	2	4899997	13.1x		99.34	45.56213	0.08	2016-09-16
GCF_000807415.2	Enterobacter roggenkampii	1812935	PRJNA259658	SAMN03067419	ASM80741v4	35734	35734	Pacbio RS II	4	5276896	8.4x		98.71	10.453649	1.35	2015-08-18
GCF_002007805.1	Enterobacter roggenkampii	1812935	PRJNA374469	SAMN06323809	ASM200780v1	R11	R11	Illumina MiSeq; PacBio	5	4993008	181.0x		99.46	55.226826	0.41	2017-02-28
GCF_002211685.1	Enterobacter roggenkampii	1812935	PRJNA391277	SAMN07260410	ASM221168v1	704SK10	704SK10	PacBio	3	5051588	217.0x		99.26	39.64497	0.53	2017-06-30
GCF_003812145.1	Enterobacter roggenkampii	1812935	PRJNA231221	SAMN10163217	ASM381214v1	FDAARGOS_523	FDAARGOS_523	PacBio; Illumina	11	5190521	16.7x		97.77	3.3530571	0.52	2018-11-21
GCF_004138605.1	Enterobacter roggenkampii	1812935	PRJNA494999	SAMN10188240	ASM413860v1	ECY546	ECY546	PacBio RSII	2	4996659	100.0x		99.15	26.824457	0.47	2019-02-05
GCF_004684365.1	Enterobacter roggenkampii	1812935	PRJNA529775	SAMN11283933	ASM468436v1	BP10374	BP10374	IonTorrent; Oxford Nanopore MiniION	1	4851717	59.0x		94.97	0.7889546	0.03	2019-04-07
GCF_009184765.2	Enterobacter roggenkampii	1812935	PRJNA415108	SAMN12995719	ASM918476v2	WCHER090065	WCHER090065	Illumina HiSeq; Oxford Nanopore MiniION	3	4954923	100.0x		98.31	6.311637	0.72	2019-11-07
GCF_013389415.1	Enterobacter roggenkampii	1812935	PRJNA640376	SAMN15329677	ASM1338941v1	ED5	ED5	Oxford Nanopore PromethION	2	4702851	100.0x		99.52	62.130177	0.41	2020-07-05
GCF_013635755.1	Enterobacter roggenkampii	1812935	PRJNA605147	SAMN15148444	ASM1363575v1	RHBSTW-00002	RHBSTW-00002	Hybrid: Illumina and PACBIO_SMRT	11	4807289	95.5x		96.5	2.1696253	1.12	2020-07-24
GCF_013725995.1	Enterobacter roggenkampii	1812935	PRJNA605147	SAMN15148745	ASM1372599v1	RHBSTW-00925	RHBSTW-00925	Hybrid: Illumina and OXFORD_NANOPORE	3	4990295	70.6x		98.69	10.059172	1.54	2020-07-27
GCF_013728935.1	Enterobacter roggenkampii	1812935	PRJNA605147	SAMN15148725	ASM1372893v1	RHBSTW-00872	RHBSTW-00872	Hybrid: Illumina and OXFORD_NANOPORE	2	4987110	170.9x		98.82	13.6094675	0.66	2020-07-27
GCF_013733395.1	Enterobacter roggenkampii	1812935	PRJNA605147	SAMN15148685	ASM1373339v1	RHBSTW-00695	RHBSTW-00695	Hybrid: Illumina and OXFORD_NANOPORE	6	5009672	93.6x		98.35	6.903353	0.64	2020-07-27
GCF_013742615.1	Enterobacter roggenkampii	1812935	PRJNA605147	SAMN15148567	ASM1374261v1	RHBSTW-00309	RHBSTW-00309	Hybrid: Illumina and PACBIO_SMRT	5	5365511	97.9x		99.59	67.8501	0.35	2020-07-27
GCF_014490845.1	Enterobacter roggenkampii	1812935	PRJNA659404	SAMN15905311	ASM1449084v1			Oxford Nanopore	5	4986223	110.0x		99.44	48.71795	0.96	2020-09-08
GCF_015136315.1	Enterobacter roggenkampii	1812935	PRJDB9036	SAMD00195906	ASM1513631v1	STW0522-66	STW0522-66	Sequel; NextSeq 500	8	5377515	513.0x	whole genome sequencing of Enterobacter roggenkampii str. STW0522-66	98.92	16.17357	1.21	2020-10-08
GCF_016756655.1	Enterobacter roggenkampii	1812935	PRJDB10185	SAMD00235761	ASM1675665v1	OIPH-N260	OIPH-N260	Illumina MiSeq; Oxford Nanopore Technologies MinION	5	5487998	1117.0x	The complete genome sequence of blaIMP-1, blaGES-5 and mcr-9 positive Enterobacter roggenkampii, OIPH-N260.	98.13	4.536489	1.27	2021-01-04
GCF_018596855.2	Enterobacter roggenkampii	1812935	PRJNA415108	SAMN19316169	ASM1859685v2	120063	120063	Illumina Hiseq-X10; Oxford Nanopore MinION	7	5251768	150.0x		99.15	26.824457	1.2	2023-01-30
GCF_019047025.1	Enterobacter roggenkampii	1812935	PRJNA231221	SAMN16357572	ASM1904702v1	FDAARGOS 1430	FDAARGOS 1430	Pacbio; Illumina	3	4917276	1430.3x		99.5	60.35503	0.08	2021-06-28
GCF_020881955.1	Enterobacter roggenkampii	1812935	PRJNA777725	SAMN22871631	ASM2088195v1	POL1	POL1	Oxford Nanopore; BGISEQ	3	4976557	861.0x		99.46	55.226826	0.41	2021-11-16
GCF_021347605.1	Enterobacter roggenkampii	1812935	PRJNA776551	SAMN22799449	ASM2134760v1	F1057	F1057	PacBio Sequel	2	4809110	251.0x		99.5	60.35503	0.17	2022-01-03
GCF_023023065.1	Enterobacter roggenkampii	1812935	PRJNA762162	SAMN21379557	ASM2302306v1	13840-yvys	13840-yvys	Oxford Nanopore MinION	2	4845874	10.0x		99.09	23.471401	0.72	2022-04-18
GCF_023023685.1	Enterobacter roggenkampii	1812935	PRJNA762162	SAMN21379549	ASM2302368v1	12795-yvys	12795-yvys	Oxford Nanopore MinION	4	5121549	10.0x		99.46	55.226826	0.48	2022-04-18
GCF_023195715.1	Enterobacter roggenkampii	1812935	PRJNA473419	SAMN27117675	ASM2319571v1			Illumina; Oxford Nanopore	12	5049045	691.0x		99	20.118343	0.89	2022-05-01
GCF_023375565.1	Enterobacter roggenkampii	1812935	PRJNA823881	SAMN27363725	ASM2337556v1	K475-2	K475-2	Oxford Nanopore MinION	5	5192835	100.0x		99.46	55.226826	1.2	2022-05-16
GCF_023375585.1	Enterobacter roggenkampii	1812935	PRJNA823881	SAMN27363726	ASM2337558v1	K666	K666	Oxford Nanopore MinION	7	5192282	100.0x		99.33	44.773174	0.73	2022-05-16
GCF_023375625.1	Enterobacter roggenkampii	1812935	PRJNA823881	SAMN27363776	ASM2337562v1	Ek140	Ek140	PacBio	2	5160484	100.0x		98.87	14.792899	0.75	2022-05-16
GCF_023650875.1	Enterobacter roggenkampii	1812935	PRJNA797191	SAMN24967284	ASM2365087v1	GD21SC1505	GD21SC1505	Illumina HiSeq; Oxford Nanopore MinION	6	4978945	100.0x		99.05	21.301775	0.17	2022-06-06
GCF_025021485.1	Enterobacter roggenkampii	1812935	PRJNA875571	SAMN30618652	ASM2502148v1	RX.G5M56	RX.G5M56	Illumina NovaSeq; Nanopore MinION	1	4772201	105.0x		99.87	99.60552	0.03	2022-09-07
GCF_025999915.1	Enterobacter roggenkampii	1812935	PRJDB13144	SAMD00535933	ASM2599991v1	KAM546	KAM546	Illumina HiSeq; ONT MinION	13	4758695	84.0x		98.9	15.384615	0.48	2022-10-11
GCF_029536245.1	Enterobacter roggenkampii	1812935	PRJNA945021	SAMN33770999	ASM2953624v1	0-E	0-E	Oxford Nanopore GridION	5	5003496	26.0x		96.46	1.7751479	0.48	2023-04-01
GCF_029542685.1	Enterobacter roggenkampii	1812935	PRJNA895759	SAMN31523745	ASM2954268v1	ws6-3	ws6-3	Illumina NovaSeq; Oxford Nanopore	1	4692618	636.0x		99.5	60.35503	0.03	2023-04-03
GCF_029542705.1	Enterobacter roggenkampii	1812935	PRJNA895843	SAMN31525273	ASM2954270v1	WS28-4	WS28-4	Illumina NovaSeq; Oxford Nanopore	1	4689724	662.0x		99.6	92.50493	0.03	2023-04-03
GCF_029542745.1	Enterobacter roggenkampii	1812935	PRJNA895841	SAMN31525259	ASM2954274v1	WS22-2	WS22-2	Illumina NovaSeq; Oxford Nanopore	2	4634203	635.0x		99.5	60.35503	0.3	2023-04-03
GCF_029718635.1	Enterobacter roggenkampii	1812935	PRJNA605147	SAMN15488572	ASM2971863v1	RHB21-E1-C01	RHB21-E1-C01	Illumina/Nanopore	1	4734159	149.0x		99.6	92.50493	0.03	2023-04-13
GCF_029834495.1	Enterobacter roggenkampii	1812935	PRJNA954335	SAMN34139910	ASM2983449v1	EOBSR_19	EOBSR_19	Oxford Nanopore PromethION	2	4861188	314.4x		96.27	1.183432	0.3	2023-04-19
GCF_030179035.1	Enterobacter roggenkampii	1812935	PRJNA288601	SAMN30974109	ASM3017903v1	2017-45-51-04-01	2017-45-51-04-01	PacBio RSII	6	5689850	70.4x		99.57	65.285995	1.39	2023-06-06
GCF_030179635.1	Enterobacter roggenkampii	1812935	PRJNA288601	SAMN30974096	ASM3017963v1	2017-45-131-01A	2017-45-131-01A	PacBio RSII	3	5215988	145.8x		99.56	64.89152	0.09	2023-06-06
GCF_030384865.1	Enterobacter roggenkampii	1812935	PRJNA987333	SAMN35977203	ASM3038486v1	WL374	WL374	Illumina; Oxford Nanopore	5	5100310	100.0x		99.6	92.50493	0.35	2023-07-02
GCF_031199395.2	Enterobacter roggenkampii	1812935	PRJNA1010010	SAMN37177602	ASM3119939v2	FACU 2	FACU 2	PacBio; Illumina MiSeq	2	4713921	150.0x		99.38	47.14004	0.34	2023-11-14
GCF_038627005.1	Enterobacter roggenkampii	1812935	PRJNA812595	SAMN41094951	ASM3862700v2	2024CK-00478	2024CK-00478	Illumina MiSeq; Oxford Nanopore GridION	4	5036479	25.0x		99.19	31.755424	0.44	2024-06-12
GCF_039727605.1	Enterobacter roggenkampii	1812935	PRJNA1110810	SAMN41378131	ASM3972760v1	L3897	L3897	PacBio	2	4897636	500.0x		99.19	31.755424	0.54	2024-05-24
GCF_040735585.1	Enterobacter roggenkampii	1812935	PRJNA1034027	SAMN38049406	ASM4073558v1	18Y001733	18Y001733	Illumina MiSeq; Oxford Nanopore MinION	2	4658510	138.0x		99.87	99.60552	0.05	2024-07-17
GCF_042246085.1	Enterobacter roggenkampii	1812935	PRJNA1144935	SAMN43046597	ASM4224608v1	INCIENSA_724942	INCIENSA_724942	Illumina MiSeq, Nanopore MinION	1	4726317	50.0x		99.61	93.885605	0.21	2024-09-26
GCF_009036245.1	Enterobacter sichuanensis	2071710	PRJNA388547	SAMN08222714	ASM903624v1	SGAir0282	SGAir0282	PacBio; Illumina MiSeq	1	4711389			99.23	39.130436	0.9	2019-10-16
GCF_042434935.1	Enterobacter sichuanensis	2071710	PRJNA1151271	SAMN43309383	ASM4243493v1	B36	B36	PacBio SMRT Technology	1	4936296	587.0x		99.39	78.26087	0.86	2024-10-11
GCF_025502525.1	Enterobacter sp. 155105	2980499	PRJNA415108	SAMN30957467	ASM2550252v1	155105	155105	Illumina HiSeq; Oxford Nanopore MinION	4	4853933	150.0x		98.95	100	0.05	2022-09-30
GCF_007035975.1	Enterobacter sp. 18A13	2565914	PRJDB8163	SAMD00166969	ASM703597v1	18A13	18A13	Sequel; NextSeq500	3	4811855	85.0x	whole genome sequencing of Enterobacter sp. 18A13	99.6	100	0.17	2019-05-14
GCF_020971765.1	Enterobacter sp. AN-K1	2894203	PRJNA779677	SAMN23067479	ASM2097176v1	AN-K1	AN-K1	PacBio Sequel	1	4656683	582.0x		99.59	100	0.3	2021-11-24
GCF_018075245.1	Enterobacter sp. BWH 37	1329836	PRJNA201967	SAMN02138600	ASM1807524v1	BWH 37	BWH 37	Illumina; Oxford Nanopore GridION	4	5255410	168.0x		99.09	100	1.18	2021-04-19
GCF_025152625.1	Enterobacter sp. CP102	2976431	PRJNA870475	SAMN30377401	ASM2515262v1	CP102	CP102	Illumina MiSeq; Oxford Nanopore MinION	2	4891319	359.0x		99.19	100	1.42	2022-09-12
GCF_002863825.2	Enterobacter sp. Crenshaw	1977566	PRJNA381809	SAMN06689580	ASM286382v3	Crenshaw	Crenshaw	Oxford Nanopore MinION; Illumina MiSeq	1	4632139	57.0x		99.5	66.666664	0.03	2022-08-08
GCF_024734705.1	Enterobacter sp. Crenshaw	1977566	PRJNA381809	SAMN30351667	ASM2473470v1	Crenshaw	Crenshaw	Oxford Nanopore MinION	1	4632138	800.0x		99.55	100	0.03	2022-08-24
GCF_002787395.1	Enterobacter sp. CRENT-193	2051905	PRJNA416193	SAMN07944244	ASM278739v1	CRENT-193	CRENT-193	PacBio	3	5196641	565.0x		99.18	50	0.86	2017-11-20
GCF_019443845.1	Enterobacter sp. DNB-S2	2720029	PRJNA613959	SAMN14422719	ASM1944384v1	DNB-S2	DNB-S2	PacBio RSII	1	4728166	200.0x		99.28	100	0.8	2021-08-03
GCF_013375955.1	Enterobacter sp. DSM 30060	2747372	PRJNA640151	SAMN15299118	ASM1337595v1	DSM 30060	DSM 30060	PacBio Sequel	1	4810361	253.0x		98.48	100	0.27	2020-06-29
GCF_032389435.1	Enterobacter sp. DTU_2021_1002640_1_SI_PRY_ASU_LCPMC_013	3077940	PRJEB56918	SAMEA111505541	ASM3238943v1	DTU_2021_1002640_1_SI_PRY_ASU_LCPMC_013	DTU_2021_1002640_1_SI_PRY_ASU_LCPMC_013	Oxford Nanopore; Illumina NextSeq	1	4895951	344.0x		99.51	100	0.82	2023-10-05
GCF_000801755.2	Enterobacter sp. E20	1560339	PRJNA263377	SAMN03099801	ASM80175v2	E20	E20	PacBio	1	4763114	20.0x		99.43	100	1.05	2015-10-26
GCF_001719105.1	Enterobacter sp. HK169	1868135	PRJNA326573	SAMN05285327	ASM171910v1	HK169	HK169	PacBio	1	4551186	221.0x		99.21	100	0.06	2016-09-06
GCF_039850505.1	Enterobacter sp. HNDS-6	3151599	PRJNA1111709	SAMN41399802	ASM3985050v1	HNDS-6	HNDS-6	Illumina HiSeq; PacBio RSII	1	4655462	293.0x		99.49	100	0.06	2024-05-28
GCF_019968825.1	Enterobacter sp. JBIWA003	2831890	PRJNA725976	SAMN18917000	ASM1996882v1	JBIWA003	JBIWA003	DNBSEQ; Oxford Nanopore GridION	6	5471029	135.0x		99.6	100	0.69	2021-09-14
GCF_019968805.1	Enterobacter sp. JBIWA005	2831891	PRJNA725976	SAMN18917002	ASM1996880v1	JBIWA005	JBIWA005	DNBSEQ; Oxford Nanopore GridION	9	5019735	135.0x		99.03	100	0.35	2021-09-14
GCF_019968765.1	Enterobacter sp. JBIWA008	2831892	PRJNA725976	SAMN18917004	ASM1996876v1	JBIWA008	JBIWA008	DNBSEQ; Oxford Nanopore GridION	5	5080097	135.0x		98.95	100	0.18	2021-09-14
GCF_021725435.1	Enterobacter sp. JH25	2923088	PRJNA798785	SAMN25126227	ASM2172543v1	JH25	JH25	Oxford Nanopore	7	5250246	200.0x		99.25	100	1.43	2022-01-30
GCF_036936505.1	Enterobacter sp. JJBC	3080020	PRJNA1026073	SAMN37733154	ASM3693650v1	JJBC	JJBC	Illumina NovaSeq; Oxford Nanopore GridION	5	5143310	110.0x		99.11	100	0.94	2024-04-05
GCF_008271405.2	Enterobacter sp. LU1	1848517	PRJNA562627	SAMN12646121	ASM827140v2	LU1	LU1	Oxford Nanopore MiniION; Illumina MiSeq	1	4636526	98.0x		99.49	100	0.3	2020-04-02
GCF_018074945.1	Enterobacter sp. MGH 14	1329823	PRJNA201967	SAMN02138554	ASM1807494v1	MGH 14	MGH 14	Illumina; Oxford Nanopore	9	5481241	232.0x		99.27	100	2.48	2021-04-19
GCF_018075145.1	Enterobacter sp. MGH 3	1329812	PRJNA201967	SAMN02138543	ASM1807514v1	MGH 3	MGH 3	Illumina; Oxford Nanopore	8	5226758	183.0x		99.27	100	1.85	2021-04-19
GCF_018075005.1	Enterobacter sp. MGH 7	1329816	PRJNA201967	SAMN02138547	ASM1807500v1	MGH 7	MGH 7	Illumina; Oxford Nanopore	4	5305481	162.0x		99.68	100	1.84	2021-04-19
GCF_004006055.1	Enterobacter sp. N18-03635	2500132	PRJNA511479	SAMN10638715	ASM400605v1	N18-03635	N18-03635	Illumina NextSeq; Oxford Nanopore MiniION	2	4687155	20.0x		99.6	100	0.03	2019-01-09
GCF_001623605.1	Enterobacter sp. ODB01	1827481	PRJNA317796	SAMN04624399	ASM162360v1	ODB01	ODB01	PacBio	1	4534036			92.71	50	0.16	2016-04-19
GCF_013749735.1	Enterobacter sp. RHBSTW-00422	2742646	PRJNA605147	SAMN15148606	ASM1374973v1	RHBSTW-00422	RHBSTW-00422	Hybrid: Illumina and OXFORD_NANOPORE	4	5234715	98.2x		99.35	100	0.79	2020-07-27
GCF_013784105.1	Enterobacter sp. RHBSTW-00593	2742656	PRJNA605147	SAMN15148659	ASM1378410v1	RHBSTW-00593	RHBSTW-00593	Hybrid: Illumina and OXFORD_NANOPORE	2	5018130	65.8x		99.61	100	0.03	2020-07-28
GCF_013615235.1	Enterobacter sp. RHBSTW-00975	2742673	PRJNA605147	SAMN15148757	ASM1361523v1	RHBSTW-00975	RHBSTW-00975	Hybrid: Illumina and OXFORD_NANOPORE	5	4987558	193.8x		99.34	100	0.93	2020-07-24
GCF_013782625.1	Enterobacter sp. RHBSTW-00994	2742676	PRJNA605147	SAMN15148763	ASM1378262v1	RHBSTW-00994	RHBSTW-00994	Hybrid: Illumina and OXFORD_NANOPORE	1	4888717	75.9x		98.89	100	0.94	2020-07-28
GCF_001888805.2	Enterobacter sp. SA187	1914861	PRJNA352128	SAMN05967246	ASM188880v2	SA187	SA187	PacBio	1	4429597	50.0x		95.41	100	1.45	2018-03-05
GCF_002952735.2	Enterobacter sp. SGAir0187	2836161	PRJNA388547	SAMN08103213	ASM295273v2	SGAir0187	SGAir0187	PacBio; Illumina MiSeq	1	4826853	180.7x		99.87	100	0.48	2018-12-11
GCF_010692925.1	Enterobacter sp. T2	2707174	PRJNA604930	SAMN14002398	ASM1069292v1	T2	T2	PacBio RS	2	4875820	20.0x		99.48	100	1.76	2020-02-18
GCF_040834095.1	Enterobacter vonholyi	2797505	PRJNA1134078	SAMN42392507	ASM4083409v1	STK80-C	STK80-C	Illumina MiniSeq, Oxford Nanopore	2	4468255			99.58	36.363636	0.03	2024-07-25
GCF_035835995.1	Enterobacter wuhouensis	2529381	PRJNA1062907	SAMN39325020	ASM3583599v1	AV1	AV1	Illumina; PacBio	1	4821649	655.0x		99.82	85.71429	0.32	2024-01-18
GCF_002234575.2	Enterocloster bolteae	208479	PRJNA393727	SAMN07340702	ASM223457v2	ATCC BAA-613	ATCC BAA-613	Oxford Nanopore MinION, Illumina HiSeq 4000	2	6614036	20.0x		97.64	98.07692	0.59	2017-08-30
GCF_013112035.1	Enterocloster bolteae	208479	PRJNA626599	SAMN14653269	ASM1311203v1	CBBP-2	CBBP-2	PacBio RSII	2	6472987	369.9x		95.61	52.884617	4.21	2020-05-16
GCF_016889665.1	Enterocloster bolteae	208479	PRJNA231221	SAMN16357373	ASM1688966v1	FDAARGOS_1231	FDAARGOS_1231	Pacbio; Illumina	2	6613968	539.6x		97.64	98.07692	0.59	2021-02-15
GCF_023008325.1	Enterocloster bolteae	208479	PRJNA755324	SAMN20813839	ASM2300832v1	VE303-01	VE303-01	PacBio RSII	1	6066969	199.0x		96.06	70.19231	2.12	2022-04-15
GCF_003711125.1	Enterococcus avium	33945	PRJNA231221	SAMN04327392	ASM371112v1	FDAARGOS_184	FDAARGOS_184	PacBio; Illumina	1	3723378	15.7x		93.73	1.369863	7.58	2018-11-05
GCF_005347505.1	Enterococcus avium	33945	PRJNA506876	SAMN10475309	ASM534750v1	352	352	Illumina; PacBio	2	4882096	210.0x		98.37	99.31507	10.2	2019-05-14
GCF_003641225.1	Enterococcus casseliflavus	37734	PRJNA494612	SAMN10174870	ASM364122v1	EC-369	EC-369	PacBio	2	3668336	50.0x		98.99	92.35294	2.98	2018-10-15
GCF_009707345.1	Enterococcus casseliflavus	37734	PRJNA580195	SAMN13152475	ASM970734v1	EC291	EC291	PacBio RSII	4	3786868	200.0x		96.17	18.82353	8.76	2019-11-24
GCF_014844215.1	Enterococcus casseliflavus	37734	PRJNA613543	SAMN14408961	ASM1484421v1	EGM182	EGM182	Illumina MiSeq; PacBio RSII	4	3612385	380.0x		97.8	64.70588	5.92	2020-10-05
GCF_016127635.1	Enterococcus casseliflavus	37734	PRJNA231221	SAMN16357167	ASM1612763v1	FDAARGOS_998	FDAARGOS_998	Pacbio; Illumina	2	3580828	1258.4x		96.78	33.52941	5.27	2020-12-20
GCF_016727305.1	Enterococcus casseliflavus	37734	PRJNA231221	SAMN16357291	ASM1672730v1	FDAARGOS_1122	FDAARGOS_1122	Pacbio; Illumina	4	3651004	754.5x		96.27	22.352942	7.21	2021-01-20
GCF_016727325.1	Enterococcus casseliflavus	37734	PRJNA231221	SAMN16357290	ASM1672732v1	FDAARGOS_1121	FDAARGOS_1121	Pacbio; Illumina	3	3650457	852.2x		98.86	90	2.79	2021-01-20
GCF_016727345.1	Enterococcus casseliflavus	37734	PRJNA231221	SAMN16357289	ASM1672734v1	FDAARGOS_1120	FDAARGOS_1120	Pacbio; Illumina	3	3548503	824.7x		96.18	20	1.09	2021-01-20
GCF_023523715.1	Enterococcus casseliflavus	37734	PRJNA604113	SAMN13955256	ASM2352371v1	SP11	SP11	Oxford Nanopore MiniION	1	3337345	1.0x		96.1	15.882353	1.98	2022-05-23
GCF_027944555.1	Enterococcus casseliflavus	37734	PRJNA921813	SAMN32634347	ASM2794455v1	CQFYY22-063	CQFYY22-063	Nanopore	6	3512545	200.0x		96.55	27.058823	3.67	2023-01-24
GCF_029201225.1	Enterococcus casseliflavus	37734	PRJNA940498	SAMN33571904	ASM2920122v1	ASE2	ASE2	PacBio Sequel	1	3623851	2571.0x		97.13	41.764706	2.22	2023-03-14
GCF_029215545.1	Enterococcus casseliflavus	37734	PRJNA940817	SAMN33579112	ASM2921554v1	ASE4	ASE4	PacBio Sequel	1	3662325	2039.0x		98.55	85.882355	1.73	2023-03-15
GCF_035583175.1	Enterococcus casseliflavus	37734	PRJNA1055014	SAMN38976253	ASM3558317v1	Dec0527	Dec0527	Illumina NovaSeq; Oxford Nanopore ONT	3	3412439	318.0x		95.66	11.176471	1.74	2024-01-11
GCF_039954945.1	Enterococcus cecorum	44008	PRJNA1071719	SAMN39710351	ASM3995494v1	127	127	Oxford Nanopore GridION	2	2676815	294.0x		94.23	6.1728396	1.62	2024-05-31
GCF_039954985.1	Enterococcus cecorum	44008	PRJNA1071719	SAMN39710346	ASM3995498v1	70	70	Oxford Nanopore GridION	1	2312828	195.0x		94.68	9.876543	1	2024-05-31
GCF_039955025.1	Enterococcus cecorum	44008	PRJNA1071719	SAMN39710344	ASM3995502v1	66	66	Oxford Nanopore GridION	2	2715331	186.0x		94.14	5.761317	1.49	2024-05-31
GCF_039955065.1	Enterococcus cecorum	44008	PRJNA1071719	SAMN39710342	ASM3995506v1	45	45	Oxford Nanopore GridION	1	2548069	289.0x		94.94	17.28395	1.22	2024-05-31
GCF_947054945.1	Enterococcus cecorum	44008	PRJEB50514	SAMEA12751135	CIRMBP-1281 assembly			Illumina, Nanopore	1	2542510	1359.0x		95.85	91.76955	0.69	2023-01-12
GCF_947054965.1	Enterococcus cecorum	44008	PRJEB50514	SAMEA12751100	CIRMBP-1246 assembly			Illumina, Nanopore	1	2290161	3091.0x		95.85	91.76955	0.9	2023-01-12
GCF_947055055.1	Enterococcus cecorum	44008	PRJEB50514	SAMEA12751115	CIRMBP-1261 assembly			Illumina, Nanopore	1	2620135	1563.0x		95.66	73.25103	0.88	2023-01-12
GCF_947055095.1	Enterococcus cecorum	44008	PRJEB50514	SAMEA12751066	CIRMBP-1212 assembly			Illumina, Nanopore	1	2242110	1531.0x		95.08	24.691359	0.71	2023-01-12
GCF_947055105.1	Enterococcus cecorum	44008	PRJEB50514	SAMEA12751128	CIRMBP-1274 assembly			Illumina, Nanopore	1	2479239	1630.0x		95.46	67.90124	1.46	2023-01-12
GCF_947055185.1	Enterococcus cecorum	44008	PRJEB50514	SAMEA12751082	CIRMBP-1228 assembly			Illumina, Nanopore	1	2799887	1319.0x		95.72	76.954735	1.3	2023-01-12
GCF_947055195.1	Enterococcus cecorum	44008	PRJEB50514	SAMEA12751137	CIRMBP-1283 assembly			Illumina, Nanopore	1	2260504	1673.0x		95.46	67.90124	0.56	2023-01-12
GCF_947055595.1	Enterococcus cecorum	44008	PRJEB50514	SAMEA12751156	CIRMBP-1302 assembly			Illumina, Nanopore	1	2391303	1404.0x		94.88	15.226337	0.61	2023-01-12
GCF_947055965.1	Enterococcus cecorum	44008	PRJEB50514	SAMEA12751141	CIRMBP-1287 assembly			Illumina, Nanopore	1	2444274	1756.0x		95.85	91.76955	0.61	2023-01-12
